Frame	Temps(s)	X(m)	Y(m)	Z(m)
489	1776692059.476	-0.9066	0.213	1.4792
490	1776692059.508	-0.903	0.2131	1.4762
491	1776692059.54	-0.9006	0.2129	1.4699
492	1776692059.563	-0.8965	0.2119	1.4668
493	1776692059.595	-0.8935	0.2125	1.4599
494	1776692059.639	-0.8912	0.2126	1.4542
495	1776692059.671	-0.88	0.2164	1.4394
496	1776692059.707	-0.8794	0.2165	1.4386
497	1776692059.734	-0.8766	0.2159	1.4343
498	1776692059.766	-0.8743	0.2146	1.433
499	1776692059.797	-0.8725	0.211	1.4284
500	1776692059.834	-0.8684	0.2116	1.4233
501	1776692059.866	-0.8592	0.2156	1.4132
502	1776692059.892	-0.8573	0.2154	1.4059
503	1776692059.93	-0.8554	0.2154	1.4047
504	1776692059.981	-0.853	0.214	1.3998
505	1776692060.003	-0.849	0.2139	1.3941
506	1776692060.053	-0.8463	0.2169	1.3887
507	1776692060.081	-0.8451	0.2168	1.3858
508	1776692060.113	-0.8416	0.2179	1.3801
509	1776692060.148	-0.8326	0.2172	1.3741
510	1776692060.176	-0.8289	0.2175	1.3681
511	1776692060.207	-0.8227	0.2192	1.3659
512	1776692060.239	-0.8131	0.2176	1.3614
513	1776692060.27	-0.8188	0.2215	1.3517
514	1776692060.317	-0.8199	0.2217	1.3455
515	1776692060.334	-0.8185	0.2197	1.3468
516	1776692060.38	-0.8122	0.2183	1.3397
517	1776692060.411	-0.8097	0.2181	1.3348
518	1776692060.443	-0.811	0.2188	1.333
519	1776692060.475	-0.8063	0.2189	1.3245
520	1776692060.507	-0.7969	0.2173	1.3191
521	1776692060.539	-0.7993	0.219	1.3152
522	1776692060.57	-0.7938	0.2182	1.3058
523	1776692060.602	-0.7923	0.2184	1.3038
524	1776692060.635	-0.7891	0.2178	1.2992
525	1776692060.665	-0.7837	0.219	1.2889
526	1776692060.697	-0.7737	0.2218	1.282
527	1776692060.735	-0.773	0.2214	1.2754
528	1776692060.764	-0.7699	0.2219	1.2689
529	1776692060.796	-0.7652	0.2224	1.264
530	1776692060.835	-0.7588	0.2205	1.2563
531	1776692060.856	-0.7536	0.2208	1.2492
532	1776692060.887	-0.7527	0.2189	1.2414
533	1776692060.919	-0.7482	0.2191	1.2357
534	1776692060.953	-0.7433	0.2195	1.2311
535	1776692060.983	-0.7363	0.2202	1.2235
536	1776692061.014	-0.7341	0.2199	1.2159
537	1776692061.061	-0.7298	0.2187	1.2074
538	1776692061.089	-0.7267	0.2178	1.1995
539	1776692061.12	-0.7226	0.2171	1.1947
540	1776692061.165	-0.7182	0.2175	1.1897
541	1776692061.199	-0.7103	0.2178	1.1812
542	1776692061.235	-0.7078	0.2171	1.1773
543	1776692061.262	-0.6987	0.2169	1.1707
544	1776692061.294	-0.7095	0.2186	1.1688
545	1776692061.335	-0.6986	0.2188	1.1589
546	1776692061.357	-0.6916	0.2196	1.1538
547	1776692061.388	-0.6929	0.2193	1.1448
548	1776692061.42	-0.6887	0.2188	1.1398
549	1776692061.452	-0.6861	0.2188	1.1352
550	1776692061.483	-0.6807	0.2186	1.1283
551	1776692061.514	-0.677	0.2183	1.122
552	1776692061.546	-0.6712	0.2178	1.1158
553	1776692061.588	-0.6704	0.2171	1.1106
554	1776692061.62	-0.6631	0.2171	1.1031
555	1776692061.641	-0.6588	0.2168	1.0975
556	1776692061.673	-0.6558	0.2162	1.0912
557	1776692061.716	-0.6533	0.217	1.081
558	1776692061.751	-0.6511	0.2161	1.0773
